TAZ,Poly,Area,Weight,GenEdge,PedEdge
8805747,503054233,363,0.0038427337398373985,463847522#1,-503056958#1
8805747,540197944,115,0.0012173949864498644,931219437#0,931219428
8805747,922255379,116,0.001227981029810298,20567444#1,931538581#1
8805747,542758439,104,0.0011009485094850948,1079196387#1,931219447#1
8805747,922255392,114,0.001206808943089431,20567444#0,931538579#1
8805747,540092934,112,0.0011856368563685636,20569507#4,1081520926#1
8805747,540092937,102,0.0010797764227642277,20569507#4,1081520926#1
8805747,922255362,27,0.0002858231707317073,20567444#0,931538589#1
8805747,1005249256,127,0.0013444275067750677,463847521#1,-1005249255#1
8805747,922255361,16,0.00016937669376693767,20567444#0,-931538594#1
8805747,540092922,135,0.0014291158536585366,20569507#1,503056956#2
8805747,503054237,231,0.0024453760162601625,-1081387043#3,1081376647#6
8805747,540092932,94,0.0009950880758807588,20569507#3,1081520926#1
8805747,503056015,2924,0.03095359078590786,20569509#5,1081528637#2
8805747,1006165250,370,0.003916836043360433,554314850,1077998345
8805747,503054236,143,0.0015138042005420054,-1081387043#3,1081376647#6
8805747,540197945,89,0.0009421578590785908,931219437#0,931219428
8805747,540092936,117,0.0012385670731707317,20569507#4,1081520926#1
8805747,542758437,98,0.0010374322493224932,931219435#2,931219447#1
8805747,503049831,433,0.004583756775067751,20569509#5,1081528630#1
8805747,540092938,112,0.0011856368563685636,20569507#4,1081520926#1
8805747,931538591,1730,0.018313855013550137,20567440#2,931538592
8805747,503054235,1340,0.01418529810298103,-162436717#2,1081376657#1
8805747,922255383,112,0.0011856368563685636,20567444#1,931538581#1
8805747,922255388,173,0.0018313855013550135,20567444#0,657303784#1
8805747,540201362,103,0.0010903624661246613,1079196387#1,931219447#1
8805747,503044769,1059,0.011210619918699188,1081387044#0,503045071#0
8805747,922255396,104,0.0011009485094850948,20567444#0,931538579#1
8805747,922255360,22,0.0002328929539295393,20567444#0,-931538594#1
8805747,542758435,127,0.0013444275067750677,931219435#2,931219446#0
8805747,540197948,88,0.0009315718157181572,931219435#0,931219449#1
8805747,342318603,5826,0.06167428861788618,1078002413,342355733#0
8805747,503044770,146,0.0015455623306233062,-931219435#2,931219475#1
8805747,542758433,117,0.0012385670731707317,1079196387#1,-503056954#0
8805747,540197942,135,0.0014291158536585366,931538548#3,931219425
8805747,540197941,201,0.0021277947154471543,931219437#0,931219428
8805747,540092927,101,0.001069190379403794,20569507#2,1081520926#1
8805747,540201359,103,0.0010903624661246613,1079196387#1,931219447#1
8805747,540092923,108,0.0011432926829268292,20569507#1,-503056956#2
8805747,503054231,542,0.0057376355013550135,463847522#1,-503056958#1
8805747,540201372,88,0.0009315718157181572,931538548#2,931219440#1
8805747,503054232,385,0.004075626693766938,20569506#2,1081525656
8805747,540201361,114,0.001206808943089431,1079196387#1,931219447#1
8805747,540197940,183,0.0019372459349593495,931219437#0,931219428
8805747,540197949,82,0.0008680555555555555,931219435#0,-931219446#0
8805747,540092933,113,0.0011962228997289973,20569507#3,1081520926#1
8805747,504321087,121,0.0012809112466124662,1081387043#1,1081387045
8805747,504321085,120,0.0012703252032520325,20569509#7,1081528639#1
