TAZ,Poly,Area,Weight,GenEdge,PedEdge
9961750,550110951,1684,0.00722926737127697,1082525567#1,1082525561
9961750,715824578,297,0.0012749954924401782,27205931#2,27205931#2
9961750,46868050,5010,0.021507499720960582,1082549189#0,1082549189#0
9961750,550110936,4245,0.018223420422251033,-1082530738,1082530732
9961750,550110942,1633,0.007010328751363,1082427910,1049956743#4
9961750,715819903,627,0.002691657150707043,453486062#1,1050807269
9961750,543397390,4266,0.018313571618686197,561749068,1082531310#1
9961750,738373033,4044,0.01736054468494303,-1001904080#3,712650690#1
9961750,550110946,1707,0.007328004395944054,-1082530738,1082530732
9961750,715824333,278,0.0011934301242369344,27205931#2,27205931#2
9961750,715820009,348,0.0014939341123541483,27205931#1,27205931#1
9961750,550110955,726,0.0031166556481871024,27172531#1,-550110957#1
9961750,550110947,1939,0.00832396047084682,-1082530738,1082530732
9961750,550110953,665,0.0028547878871135303,1082530771#1,1082530770#8
9961750,46868193,148871,0.6390904173571104,1078319643#0,1049983764#0
9961750,550110944,3812,0.016364588610040268,1082530738,1049983967#2
9961750,550110934,2642,0.011341879094366838,-1082530738,1082530732
9961750,46868007,13619,0.05846519734526191,-464095817,-464095817
9961750,550110945,1241,0.0053275064179066035,-1082530738,1082530732
9961750,715824185,352,0.001511105768817989,27205931#1,27205931#1
9961750,46868008,6286,0.026985258132925793,-1056121381#2,1017648925#1
9961750,715825151,315,0.0013522679465274618,1082526262#1,1082526255
9961750,1082530806,78,0.00033484730104489527,1082530775#1,1082530808
9961750,715819973,649,0.0027861012612581675,1050808632#0,1050807269
9961750,715824720,638,0.002738879205982605,453486062#1,1050807269
9961750,550110940,813,0.0034901391762756392,1082530738,1082530710
9961750,550110937,1358,0.005829777369473947,-1082530738,1082530732
9961750,550110943,800,0.003434331292768157,1082530738,1082530710
9961750,550110950,1683,0.00722497445716101,-1082530738,-1082530738
9961750,550110949,824,0.0035373612315512015,1082530738,1082530710
9961750,715820043,301,0.001292167148904019,27205931#1,27205931#1
9961750,712650689,158,0.000678280430321711,-27174853,-27174853
9961750,543003866,498,0.0021378712297481775,-169869666#0,-169869666#0
9961750,715824525,270,0.001159086811309253,27205931#2,27205931#2
9961750,550110941,554,0.0023782744202419485,1082530738,1082530710
9961750,775357554,574,0.0024641327025611524,453489297,1049983775
9961750,715824313,298,0.0012792884065561385,27205931#2,27205931#2
9961750,543397391,3035,0.013028994341939194,1050808627#1,1082531308
9961750,550110935,966,0.004146955036017549,40323182#0,-1082530784#0
9961750,46868278,2144,0.00920400786461866,1078322080,435136703#1
9961750,715819934,365,0.0015669136523254715,453486062#1,1050807269
9961750,715824366,229,0.0009830773325548848,27205931#2,27205931#2
9961750,715819890,653,0.002803272917722008,453486062#1,1050807269
9961750,550110939,798,0.0034257454645362363,436515365#0,1049983966#1
9961750,712564192,546,0.002343931107314267,-464110265#0,-464110265#0
9961750,550110938,3395,0.014574443423684866,453733906#0,1049983966#1
9961750,46868009,3883,0.01666938551227344,169869666#0,169869666#0
9961750,550110952,665,0.0028547878871135303,1082530771#1,1082530770#8
9961750,361354962,858,0.0036833203114938484,464108085,464108085
9961750,550110948,551,0.002365395677894068,1082530738,1082530710
9961750,715825208,318,0.0013651466888753424,1082526262#1,1082526255
9961750,550110956,433,0.0018588318122107648,1050812213#1,550110957#1
