TAZ,Poly,Area,Weight,GenEdge,PedEdge
9945403,388593781,312,0.0011257604295209023,-501703234#4,-501703234#4
9945403,388028905,170,0.0006133951058286968,409068392#2,409068392#2
9945403,388242110,116,0.0004185519545654637,-20415466#1,-20415466#1
9945403,388241693,124,0.0004474176066044612,453946163,453946163
9945403,387882535,142,0.0005123653236922055,-20413557#2,-20413557#2
9945403,390092678,105,0.00037886168301184216,977964662#0,977964662#0
9945403,390166237,184,0.0006639099968969425,186336683#6,186336683#6
9945403,390004748,131,0.000472675052138584,4944288#1,4944288#1
9945403,387885219,94,0.00033917141145822056,-25859115#0,-25859115#0
9945403,390004966,92,0.0003319549984484712,25865213,25865213
9945403,973160801,194,0.0006999920619456892,-20196777#1,-20196777#1
9945403,388157534,245,0.0008840105936942983,-20415461#2,-20415461#2
9945403,388131355,166,0.000598962279809198,20415449#3,20415449#3
9945403,387885217,185,0.0006675182034018171,-25859115#0,-25859115#0
9945403,388015524,191,0.0006891674424310652,-409068392#3,-409068392#3
9945403,388534528,171,0.0006170033123335715,-20415475#3,-20415475#3
9945403,314358085,2057,0.0074220807805272316,464708839#1,-973141939
9945403,388164255,143,0.0005159735301970802,-20415449#4,-20415449#4
9945403,388241669,123,0.0004438094000995865,-20415461#3,-20415461#3
9945403,388247891,150,0.000541230975731203,20415465,20415465
9945403,388541297,137,0.0004943242911678321,20415475#1,20415475#1
9945403,388757298,2586,0.00933082202160594,715095109#3,656026968#1
9945403,390097775,81,0.00029226472689484963,977964662#0,977964662#0
9945403,388243452,148,0.0005340145627214537,-331290172#1,-331290172#1
9945403,388534563,176,0.0006350443448579449,20415475#3,20415475#3
9945403,387893270,172,0.0006206115188384461,409068392#3,409068392#3
9945403,388245632,124,0.0004474176066044612,20415464#0,20415464#0
9945403,388159402,140,0.0005051489106824562,-20415449#3,-20415449#3
9945403,388241683,132,0.0004762832586434587,453946163,453946163
9945403,388540200,156,0.0005628802147604512,20415478,20415478
9945403,389996238,167,0.0006025704863140728,186336683#6,-227709722#5
9945403,791740736,2559,0.009233400445974324,164612927#0,-435469101#0
9945403,388269452,586,0.0021144090118565668,-408869205#2,-408869205#2
9945403,388201867,276,0.0009958649953454137,-20415464#0,-20415464#0
9945403,388593778,180,0.0006494771708774437,-501703234#4,-501703234#4
9945403,387880614,104,0.00037525347650696744,20413557#2,20413557#2
9945403,388015533,224,0.0008082382570919299,-409068392#4,-409068392#4
9945403,387848393,117,0.00042216016107033837,388759870#2,388759870#2
9945403,390166242,254,0.0009164844522381705,186336683#6,186336683#6
9945403,981907781,611,0.0022046141744784336,-20196779#0,-20196779#0
9945403,388247809,146,0.0005267981497117043,-20415466#0,-20415466#0
9945403,390097774,123,0.0004438094000995865,977964662#0,977964662#0
9945403,387886257,146,0.0005267981497117043,25859115#0,25859115#0
9945403,388131354,164,0.0005917458667994487,41523184#1,41523184#1
