TAZ,Poly,Area,Weight,GenEdge,PedEdge
9961749,705163510,1977,0.037158860236072476,22891974#4,22891974#4
9961749,705163515,400,0.007518231711901361,463889832#5,996306329
9961749,705163517,399,0.007499436132621607,-1052172322#4,-1052172322#4
9961749,46868194,10255,0.19274866551387113,436517541,705163482#1
9961749,705163504,1506,0.028306142395308622,22891974#6,992230681#1
9961749,705163505,1507,0.028324937974588377,22891974#4,22891974#4
9961749,712562497,348,0.006540861589354184,-1067712056#4,1068070658
9961749,705163500,570,0.010713480189459439,169869663#5,992230669
9961749,366600727,4200,0.07894143297496428,-453963465#2,543109868#1
9961749,705163506,1506,0.028306142395308622,22891974#6,992230675
9961749,705163501,571,0.010732275768739193,169869663#4,992230669
9961749,705163499,793,0.014904894368844448,-1052172322#8,992230686
9961749,705163516,400,0.007518231711901361,-1052172322#4,-1052172322#4
9961749,46868038,5202,0.09777460341327719,686619027#3,686619027#3
9961749,705163503,1506,0.028306142395308622,22891974#6,992230681#1
9961749,366119131,2243,0.04215848432448688,-686619026#4,1070092351#1
9961749,366596054,818,0.015374783850838283,1068070629#1,1068070629#1
9961749,705163509,897,0.0168596346139388,22891974#4,22891974#4
9961749,705163507,1507,0.028324937974588377,22891974#6,992230675
9961749,705163511,543,0.010205999548906098,22891974#4,705163497#1
9961749,705163498,1509,0.028362529133147883,-1052172322#8,992230686
9961749,46868058,8499,0.15974362829862415,-561763095#3,1068070666
9961749,46868046,1560,0.029321103676415307,-463889832#5,992230672
9961749,539116419,434,0.008157281407412977,-453512966#3,539116421#1
9961749,705163502,1507,0.028324937974588377,22891974#8,992230681#0
9961749,540040259,241,0.00452973460642057,-1068070629#1,540040260
9961749,705163518,399,0.007499436132621607,435111160,-705163497#1
9961749,705163508,1507,0.028324937974588377,22891974#8,992230678
9961749,705163514,400,0.007518231711901361,435111160,-705163497#1
