TAZ,Poly,Area,Weight,GenEdge,PedEdge
9945404,388900010,91,0.00018819150036190673,165337365#1,165337365#1
9945404,199722045,941,0.0019460241960500466,52948925,52948925
9945404,389803321,233,0.0004818529624651019,19936117,19936117
9945404,386674782,114,0.00023575638506876227,-541187707#3,-541187707#3
9945404,389766388,473,0.000978182194188812,1056541248#10,1056541248#10
9945404,373794505,94,0.0001943956157584531,73098877#2,258323638#0
9945404,389771705,257,0.0005314858856374728,1056541248#6,1056541248#6
9945404,389758248,326,0.0006741805397580395,502677933,502677933
9945404,389129024,563,0.0011643056560852031,-1056541769#0,-967410243
9945404,388761343,161,0.00033295419294798886,-20413515#8,-20413515#8
9945404,314358084,442,0.0009140730017578327,449819607#0,787491564
9945404,386756445,84,0.0001737152311032985,541187707#4,541187707#4
9945404,389792534,204,0.00042187984696515356,186336683#1,186336683#1
9945404,966330671,116,0.0002398924619997932,-4767566#0,-4767566#0
9945404,389761845,108,0.00022334815427566953,964164938,964164938
9945404,205240555,256,0.0005294178471719574,186496248#1,186496248#1
9945404,389133622,124,0.00025643676972391684,19935882#4,19935882#4
9945404,386726157,276,0.0005707786164822666,541187707#2,541187707#2
9945404,388897490,62,0.00012821838486195842,-20565281#7,-20565281#7
9945404,389751935,360,0.0007444938475855651,1056541248#9,-964164939
9945404,334786088,154,0.00031847792368938063,-19936200#1,-19936200#1
9945404,389803325,140,0.0002895253851721642,73098877#4,73098877#4
9945404,388772694,81,0.00016751111570675214,20413517,20413517
9945404,389132267,118,0.00024402853893082412,-19935882#3,-19935882#3
9945404,388864080,149,0.0003081377313618033,-20413529#0,-20413529#0
9945404,389129025,833,0.001722676041774377,-1056541769#1,967410244#0
9945404,334786054,269,0.0005563023472236584,449819593#0,449819593#0
9945404,388767549,143,0.00029572950056871056,-396983242#0,-396983242#0
9945404,389325722,150,0.0003102057698273188,464729229,464729229
9945404,389827913,181,0.000374314962258298,19936201,19936201
9945404,388662248,164,0.00033915830834453523,20413515#4,20413515#4
9945404,314358089,603,0.0012470271947058215,240865243#0,240865243#0
9945404,389820119,143,0.00029572950056871056,-37452880,-37452880
9945404,388758872,123,0.0002543687312584014,20413515#6,20413515#6
9945404,199722123,478,0.0009885223865163891,-52948925,-199722036
9945404,389826184,308,0.0006369558473787613,986065816,986065816
9945404,389336478,128,0.0002647089235859787,190527486#0,190527486#0
9945404,389130979,113,0.00023368834660324683,-19935882#2,-19935882#2
9945404,386756293,88,0.00018198738496536036,541187707#3,541187707#3
9945404,388761348,130,0.0002688450005170096,165265051,165265051
9945404,389819162,253,0.000523213731775411,986065817,986065817
9945404,389823111,423,0.000874780270913039,73850324,73850324
9945404,389331820,117,0.00024196050046530865,464729229,464729229
9945404,389672294,187,0.00038672319305139074,-19936000#0,-19936000#0
9945404,389783329,148,0.0003060696928962879,186336683#0,186336683#0
9945404,388868138,89,0.0001840554234308758,20413529#0,20413529#0
9945404,389132689,159,0.0003288181160169579,-464729229,-464729229
9945404,386281093,116,0.0002398924619997932,20412255#0,20412255#0
9945404,389135564,109,0.00022541619274118498,1056541766#2,1056541766#2
9945404,388865306,102,0.00021093992348257678,20565281#8,20565281#8
9945404,389758245,271,0.0005604384241546893,502677933,502677933
9945404,388877678,129,0.00026677696205149417,20565281#5,20565281#5
9945404,386462877,143,0.00029572950056871056,575483649#1,575483649#1
9945404,389324920,221,0.0004570365008789163,464729229,464729229
9945404,389751417,341,0.0007052011167407714,1056541248#5,418863736
9945404,389322730,144,0.00029779753903422604,-464729229,-464729229
9945404,388897012,117,0.00024196050046530865,-20565281#5,-20565281#5
9945404,314358088,307,0.0006348878089132457,-986065816,965484977
9945404,389715202,1075,0.002223141350429118,4852140#11,4852140#11
9945404,208171875,337,0.0006969289628787096,19936558#4,373793999#2
9945404,157720325,1579,0.0032654327370489093,-4640305#3,157720326
9945404,389783327,298,0.0006162754627236066,186336683#0,186336683#0
9945404,389763944,84,0.0001737152311032985,964164938,964164938
9945404,389781434,247,0.0005108055009823183,186336683#1,186336683#1
9945404,389795556,534,0.001104332540585255,73098877#1,-434772162
9945404,389805239,116,0.0002398924619997932,73098877#8,73098877#8
9945404,386281530,74,0.00015303484644814394,171785362#1,171785362#1
9945404,389827795,140,0.0002895253851721642,19936201,19936201
9945404,334786087,165,0.00034122634681005065,-4767566#0,-4767566#0
9945404,205240537,244,0.0005046013855857719,186496248#1,186496248#1
9945404,389763948,90,0.00018612346189639129,964164938,964164938
9945404,386758353,84,0.0001737152311032985,108812400,108812400
