TAZ,Poly,Area,Weight,GenEdge,PedEdge
8806187,484687580,197,7.900886784302983e-05,199260847#1,199260847#1
8806187,344414547,24,9.625445828592467e-06,20186978#2,20186978#2
8806187,391171850,126,5.053359060011045e-05,-20186998#1,-20186998#1
8806187,344439450,196,7.860780760017181e-05,-495837420,-495837420
8806187,344652606,141,5.654949424298075e-05,-20176258,-20176258
8806187,1098705606,204,8.181628954303597e-05,29367216#1,29367216#1
8806187,366177818,500,0.00020053012142900973,1078020882#7,-932917169#0
8806187,357956331,137,5.494525327154867e-05,316470333#1,931538637
8806187,1109162957,135,5.414313278583263e-05,1080730806#4,1080730806#4
8806187,391296747,104,4.171026525723402e-05,453998152#0,-453998152#0
8806187,344123693,125,5.013253035725243e-05,20176257,20176257
8806187,392593535,126,5.053359060011045e-05,20194988#1,933076626#1
8806187,1103335819,110,4.411662671438214e-05,1080985107#7,1080985107#7
8806187,1013604367,82,3.28869399143576e-05,20904782#1,20904782#1
8806187,391323685,129,5.173677132868451e-05,-453534189#0,-453534189#0
8806187,344536510,178,7.138872322872746e-05,-20180823#0,-20180823#0
8806187,390561235,164,6.57738798287152e-05,463880939#1,933360257
8806187,922968533,92,3.689754234293779e-05,1080920823#0,1080920821#1
8806187,390945011,232,9.304597634306052e-05,932876497#1,933326513
8806187,392508414,106,4.251238574295006e-05,-464055753#0,-464055753#0
8806187,394630768,247,9.906187998593081e-05,453994596#3,454982728
8806187,392530218,150,6.015903642870292e-05,453303348#1,453303348#1
8806187,922740426,77,3.0881638700067496e-05,1082402400#6,1082402400#6
8806187,1013604381,113,4.53198074429562e-05,454014491#4,454014491#4
8806187,1004607956,108,4.33145062286661e-05,-20900075#3,-20900075#3
8806187,344303783,200,8.021204857160389e-05,-40037947#1,-40037947#1
8806187,1002857412,169,6.777918104300528e-05,20904790#0,20904790#0
8806187,344736719,127,5.093465084296847e-05,20176248#3,20176248#3
8806187,357956351,93,3.729860258579581e-05,23857199#1,1105084345#0
8806187,1014489407,86,3.4491180885789676e-05,1056541243#0,1056541243#0
8806187,1109160791,76,3.048057845720948e-05,980924523#1,1082402388
8806187,484824069,101,4.050708452865997e-05,-20904803#0,-20904803#0
8806187,1109160818,128,5.133571108582649e-05,986063696#3,1079052745#0
8806187,391134774,174,6.978448225729539e-05,20194967,20194967
8806187,576310545,127,5.093465084296847e-05,-463864075#0,204186946#1
8806187,344722011,107,4.2913445985808086e-05,313779914#3,313779914#3
8806187,361576365,189,7.580038590016568e-05,454222450,454222450
8806187,1013604372,84,3.368906040007364e-05,20904782#1,20904782#1
8806187,344437283,162,6.497175934299915e-05,573846723,573846723
8806187,509529276,47,1.8849831414326913e-05,20572234,932921732
8806187,391324239,191,7.660250638588172e-05,313780850#1,933076549
8806187,390766342,292,0.00011710959091454168,684932178#0,684932178#0
8806187,1001930993,94,3.769966282865383e-05,933370583#2,933376050#1
8806187,1006857549,600,0.00024063614571481168,370488963#1,1079098101#2
8806187,344412746,155,6.216433764299302e-05,20184585#5,20184585#5
8806187,390945820,144,5.77526749715548e-05,389096588#3,933326532
8806187,359652791,160,6.416963885728312e-05,996640413#4,996640413#4
8806187,1098946188,136,5.4544193028690645e-05,-20904825#2,-20904825#2
8806187,344350991,192,7.700356662873973e-05,-990620409#1,-990620409#1
8806187,344138419,215,8.622795221447418e-05,-20180834#0,-20180834#0
8806187,1099466790,185,7.41961449287336e-05,47971520#1,47971520#1
8806187,1014489425,88,3.5293301371505716e-05,1056541243#0,1056541243#0
8806187,923178917,595,0.00023863084450052158,1016857672#4,932914969
8806187,344414676,128,5.133571108582649e-05,20186978#2,20186978#2
8806187,344157971,146,5.855479545727084e-05,-20186979#0,-20186979#0
8806187,391125592,170,6.81802412858633e-05,463875683,463875683
8806187,342540606,107,4.2913445985808086e-05,451864531#0,451864535#1
8806187,342490505,82,3.28869399143576e-05,-475308635,-475308635
8806187,348070153,224,8.983749440019636e-05,1082402400#4,1082402400#4
8806187,1015320332,81,3.2485879671499575e-05,453293296,453293296
8806187,399703105,127,5.093465084296847e-05,20176241#1,20176241#1
8806187,1100733982,266,0.00010668202460023318,23630060#1,23630060#1
8806187,922740397,109,4.371556647152412e-05,1080985107#1,1080985107#1
8806187,344529367,226,9.06396148859124e-05,453745512#9,453745512#9
8806187,344894744,94,3.769966282865383e-05,755628441#0,755628441#0
8806187,922968473,101,4.050708452865997e-05,1080735815#2,1080920800#1
8806187,342655316,149,5.97579761858449e-05,463622074#0,451864535#1
8806187,395393346,242,9.705657877164071e-05,20176230#0,-454982728
8806187,922747311,67,2.6871036271487303e-05,1080984347#1,1081023031
8806187,391362730,131,5.253889181440055e-05,-933076546#8,933076533
8806187,344396884,208,8.342053051446805e-05,40037948#1,132491764
8806187,1011602918,118,4.73251086572463e-05,20180261#1,1082783439
8806187,1099926225,310,0.00012432867528598603,29365000#1,29365000#1
8806187,391342083,167,6.697706055728925e-05,20187006#0,20187006#0
8806187,1092227618,101,4.050708452865997e-05,226668715#1,226668715#1
8806187,392438136,93,3.729860258579581e-05,-20194985#2,933286945
8806187,577531443,169,6.777918104300528e-05,538520163#1,-577517301
8806187,1098117143,239,9.585339804306665e-05,-20904856,-20904856
8806187,342537782,110,4.411662671438214e-05,20177017,-451864535#1
8806187,1103330134,111,4.451768695724016e-05,1082402423#1,1082402423#1
8806187,1099926231,266,0.00010668202460023318,29365000#0,29365000#0
8806187,344206690,362,0.00014518380791460304,20187010#0,20187010#0
8806187,357956364,336,0.00013475624160029455,1016624295#1,1105058982#0
8806187,1096872363,340,0.0001363604825717266,1082412879#2,1082412879#2
8806187,311857976,430,0.00017245590442894836,24884963#3,1082407362
8806187,342631783,129,5.173677132868451e-05,142440389#0,142440389#0
8806187,344657278,99,3.970496404294393e-05,475250512#1,-475250512#1
8806187,722328534,141,5.654949424298075e-05,-463869346#5,932921731#2
8806187,1092201564,163,6.537281958585717e-05,20904779#2,1082415002#1
8806187,344531807,154,6.176327740013499e-05,475250512#0,475250512#0
8806187,344724021,118,4.73251086572463e-05,20176251#0,20176251#0
8806187,394288602,164,6.57738798287152e-05,20572233#2,932921728#0
8806187,344230946,246,9.866081974307279e-05,-20182936#0,-20182936#0
8806187,355585424,7,2.8074217000061363e-06,199106628#0,199106628#0
8806187,390353588,165,6.61749400715732e-05,933370542#0,933370542#0
8806187,342358486,683,0.0002739241458720273,165215460#3,165215460#3
8806187,1003283542,417,0.0001672421212717941,29365799#5,29365799#5
8806187,1092009315,134,5.3742072542974606e-05,1082413667#1,1082413667#1
8806187,344887672,126,5.053359060011045e-05,48431492,48431492
8806187,342578405,195,7.82067473573138e-05,983406463,983406463
8806187,1098705624,145,5.815373521441282e-05,-29367216#1,-29367216#1
8806187,576310542,696,0.00027913792902918154,463864074#1,463864074#1
8806187,1101367804,829,0.00033247894132929813,1079052705#8,1079052687
8806187,1013576024,62,2.4865735057197208e-05,453293293,453293293
8806187,344181620,79,3.1683759185783535e-05,39422964,39422964
8806187,881454637,812,0.0003256609172007118,1081026829#3,1081371021
8806187,391367975,184,7.379508468587557e-05,-20187006#1,-20187006#1
8806187,47332131,1652,0.0006625515212014481,-47133859,-198402048#0
8806187,922740433,48,1.9250891657184933e-05,1082402400#6,1082402400#6
8806187,344216070,250,0.00010026506071450487,-20187015#1,-20187015#1
8806187,390566102,137,5.494525327154867e-05,933360242#1,933360247
8806187,1000949442,115,4.6121927928672236e-05,933376048#1,933376048#1
8806187,503049833,1708,0.0006850108948014972,-463848445#4,1081520994#1
8806187,1016020753,142,5.695055448583876e-05,453293290,453293290
8806187,359654854,83,3.3288000157215614e-05,20176242,248181607#0
8806187,391231838,177,7.098766298586944e-05,453998152#2,453998152#2
8806187,1095424437,111,4.451768695724016e-05,1056541243#2,1056541243#2
8806187,344743597,80,3.208481942864156e-05,20415457#1,933071155
8806187,342578070,208,8.342053051446805e-05,983406463,983406463
8806187,390955790,137,5.494525327154867e-05,933346252#1,933346252#1
8806187,310746617,413,0.00016563788030036204,464048058#1,1082415027
8806187,1011916183,154,6.176327740013499e-05,20180261#1,-204186937#1
8806187,1109138815,60,2.406361457148117e-05,20570494#1,20570494#1
8806187,390562385,82,3.28869399143576e-05,933346260#1,933360217
8806187,1096862215,124,4.9731470114394416e-05,68254908#2,1079098089#0
8806187,1013418648,81,3.2485879671499575e-05,198357035#2,198357035#2
8806187,1099926232,145,5.815373521441282e-05,29365000#0,29365000#0
8806187,1099463273,383,0.00015360607301462145,20904808#8,20904808#8
8806187,344243195,225,9.023855464305438e-05,20186992#5,496972493
8806187,342548468,84,3.368906040007364e-05,-20177018#1,-20177018#1
8806187,441518465,87,3.489224112864769e-05,344887670#0,344887670#0
8806187,292385964,695,0.0002787368687863235,933080052#5,933083881#1
8806187,922874598,94,3.769966282865383e-05,1080984358#1,1081022913
8806187,1003298016,171,6.858130152872133e-05,20195006#2,20195006#2
8806187,1101369901,136,5.4544193028690645e-05,1080985097#5,1080985097#5
8806187,359193679,213,8.542583172875815e-05,463622075,463622075
8806187,1101369925,147,5.895585570012886e-05,1080985097#5,1080985097#5
8806187,484860352,150,6.015903642870292e-05,-20904803#1,-20904803#1
8806187,1046041673,145,5.815373521441282e-05,481108780,932906668#1
8806187,1092183764,115,4.6121927928672236e-05,262078426#1,262078426#1
8806187,1004163596,207,8.301947027161002e-05,-20904850#1,-20904850#1
8806187,1109147383,65,2.6068915785771264e-05,-159499581#1,-159499581#1
8806187,342655347,183,7.339402444301757e-05,463622074#0,463622074#0
8806187,1096868174,131,5.253889181440055e-05,1082412879#1,1082412879#1
8806187,1096286671,110,4.411662671438214e-05,198357035#4,198357035#4
8806187,1101369889,128,5.133571108582649e-05,1080985097#5,1080985097#5
8806187,344646181,105,4.2111325500092046e-05,20176258,20176258
8806187,344742081,175,7.018554250015341e-05,453727319#0,453727319#0
8806187,391171839,209,8.382159075732607e-05,20187003,20187003
8806187,1012245702,288,0.0001155053499431096,-316470333#2,1057480091
8806187,1011544699,357,0.00014317850670031294,-463869046#3,1081625526
8806187,1092009333,104,4.171026525723402e-05,1082413667#1,1082413667#1
8806187,1000949444,115,4.6121927928672236e-05,933376048#1,933376048#1
8806187,342486822,119,4.7726168900104315e-05,475308636,475308636
8806187,344502202,107,4.2913445985808086e-05,20180820,20180820
8806187,47175436,3583,0.0014369988501602836,20176249#3,20176249#3
8806187,1101367770,154,6.176327740013499e-05,1080985101#5,1080985101#5
8806187,344674866,349,0.00013997002475744878,-20176252#1,-20176252#1
8806187,394443045,195,7.82067473573138e-05,199105836#0,996726727
8806187,1092227615,102,4.0908144771517984e-05,226668715#1,226668715#1
8806187,1012806623,119,4.7726168900104315e-05,-20904805#1,-20904805#1
8806187,1002435538,299,0.00011991701261454782,-454014493#4,-454014493#4
8806187,344739689,84,3.368906040007364e-05,20176251#2,20176251#2
8806187,391188596,160,6.416963885728312e-05,20186998#3,20186998#3
8806187,390572007,558,0.00022379161551477485,479688352,997242868#0
8806187,344199544,279,0.00011189580775738742,-20186988#0,-20186988#0
8806187,922747317,79,3.1683759185783535e-05,1080985107#1,1080985107#1
8806187,390776910,130,5.213783157154253e-05,464095151,464095151
8806187,922874621,77,3.0881638700067496e-05,23858737#4,1081024202#1
8806187,1095465933,72,2.88763374857774e-05,464048058#1,1082415032
8806187,1098420246,191,7.660250638588172e-05,29364999#1,29364999#1
8806187,1099463290,304,0.00012192231382883792,20904822#2,20904822#2
8806187,955435107,333,0.0001335530608717205,-1082079445#4,1079009450
8806187,344400738,144,5.77526749715548e-05,453998153,453998153
8806187,342495452,87,3.489224112864769e-05,20177019,20177019
8806187,392588254,100,4.0106024285801945e-05,-933076537#1,933076521
8806187,923178918,337,0.00013515730184315256,1016857672#3,933032891#1
8806187,390952754,123,4.933040987153639e-05,933346240#1,933346237
8806187,342314523,191,7.660250638588172e-05,48431544#1,48431544#1
