TAZ,Poly,Area,Weight,GenEdge,PedEdge
9945750,1096862211,90,0.0007787825033530913,68254908#2,1079098089#0
9945750,310746618,1649,0.014269026089213863,464047500#10,1082415037#1
9945750,1092173308,100,0.0008653138926145459,262078426#3,262078426#3
9945750,392535905,102,0.0008826201704668368,453303348#1,453303348#1
9945750,1007841049,152,0.0013152771167741098,463878820#1,1007841050
9945750,1092173311,114,0.0009864578375805824,262078426#3,262078426#3
9945750,1095465929,125,0.0010816423657681825,464048058#1,1082415032
9945750,1095525273,132,0.0011422143382512006,370488963#2,1079098133
9945750,1095525297,243,0.0021027127590533467,464047500#3,1082415036
9945750,392538445,292,0.002526716566434474,933080052#2,933083881#1
9945750,1092173314,114,0.0009864578375805824,262078426#3,262078426#3
9945750,1095525287,108,0.0009345390040237096,464047500#7,1082415036
9945750,262393948,142,0.0012287457275126552,128001567#1,1079098172
9945750,1092173307,99,0.0008566607536884005,262078426#3,262078426#3
9945750,392530220,124,0.001072989226842037,453303348#1,453303348#1
9945750,1095465937,116,0.0010037641154328732,464048058#1,1082415032
9945750,1092173271,99,0.0008566607536884005,262078426#3,262078426#3
9945750,392595484,113,0.000977804698654437,20194988#1,933076624
9945750,1009748284,126,0.0010902955046943278,453303348#3,453303348#3
9945750,1092183757,94,0.0008133950590576732,262078426#1,262078426#1
9945750,1092183762,100,0.0008653138926145459,262078426#1,262078426#1
9945750,1096865100,157,0.0013585428114048371,47971512#1,1082415760#1
9945750,1092183769,114,0.0009864578375805824,262078426#1,262078426#1
9945750,392538443,71,0.0006143728637563276,933080052#2,933083881#1
9945750,1092173306,100,0.0008653138926145459,262078426#3,262078426#3
9945750,262395203,146,0.001263358283217237,282423433#0,1079098171
9945750,1092183753,102,0.0008826201704668368,262078426#1,262078426#1
9945750,1009745173,131,0.001133561199325055,453303348#1,453303348#1
9945750,392535939,307,0.002656513650326656,52638658#2,933083916
9945750,1095449527,953,0.008246441396616623,474592295#1,1079098591
9945750,1095465931,100,0.0008653138926145459,464048058#1,1082415032
9945750,392593477,98,0.000848007614762255,-20194988#1,933076625
9945750,392593504,127,0.0010989486436204733,464051237#1,933076624
9945750,392533634,139,0.001202786310734219,453303348#1,453303348#1
9945750,1095465936,113,0.000977804698654437,464048058#1,1082415032
