TAZ,Poly,Area,Weight,GenEdge,PedEdge
8806186,46868023,2411,0.003240874538770188,26135033#1,1056775354#1
8806186,46867866,8958,0.0120413745824568,22892114#7,642749865
8806186,674561916,784,0.0010538555115702313,1082675648,934296769#1
8806186,786599110,147,0.00019759790841941837,-22892132#5,-22892132#5
8806186,46868082,2178,0.002927675132908117,-22892042#2,-22892042#2
8806186,46867851,1225,0.0016466492368284863,-415609092#2,-415609092#2
8806186,786599127,106,0.0001424855666153629,-22892144,-22892144
8806186,436425721,1490,0.0020028631533668935,371654200#2,933872820#2
8806186,674561917,415,0.0005578444353337321,934296757#2,-934296769#1
8806186,46867896,6923,0.00930592054413356,1082675649#1,-934296764#1
8806186,46868111,4790,0.006438734566864041,371654205#3,642749862
8806186,786599109,122,0.00016399282195353088,-22892132#5,-22892132#5
8806186,46868026,22348,0.030040258893586132,1078308000,930828071#1
8806186,1082696890,116,0.0001559276012017179,404295697#0,1082696889#1
8806186,996010564,1880,0.0025271025022347384,22892154,22892154
8806186,786599135,119,0.00015996021157762438,22892146#0,22892146#0
8806186,46867884,2676,0.0035970884553085955,934412181#9,-655270056
8806186,46868101,1762,0.0023684864941157496,371654205#1,642749857
8806186,786599145,128,0.00017205804270534387,-22892148,487546517#3
8806186,46867883,1098,0.0014759353975817779,436510242#3,655270056
8806186,46868024,17163,0.02307056396056107,324615480,1056775350#4
8806186,46868085,3957,0.00531901308582067,435138711#0,435138711#0
8806186,786599138,144,0.00019356529804351186,22892134#3,22892134#3
8806186,46867899,2210,0.002970689643584453,934296782#3,934296665
8806186,46868000,18444,0.024792488591073143,22892201#12,655270083#1
8806186,786599130,184,0.00024733343638893185,-22892144,-22892144
8806186,786599117,222,0.0002984131678170808,22892132#5,22892132#5
8806186,46868142,3928,0.00528003118552024,-415609092#11,655270072
8806186,46868102,18121,0.024358310873933878,415609092#16,-655270037#1
8806186,46868084,1096,0.001473246990664507,931048085#0,931048052#1
8806186,786599125,78,0.00010484786977356893,-22892144,-22892144
