TAZ,Poly,Area,Weight,GenEdge,PedEdge
1572820,104219360,1784,0.0020867156686145798,461254932#1,477894289#1
1572820,340449646,141,0.00016492539757547968,330150434#5,477773265#1
1572820,347268391,69,8.070817328161772e-05,25367021#6,25367021#6
1572820,347309947,241,0.000281893764650288,454188458#0,1090298889
1572820,340382602,148,0.00017311318327071628,41258974#1,402436443
1572820,227611763,518,0.0006058961414475069,1092666574#1,806940701#0
1572820,347630063,48,5.6144816195907976e-05,20112427#5,20112427#5
1572820,342733844,1263,0.0014773104761548286,200638835#0,38340499
1572820,343521146,158,0.0001848100199781971,19899276#0,477915723
1572820,347276173,143,0.00016726476491697585,19899374#2,1073080550#2
1572820,696912354,200,0.00023393673414961658,20112466#1,806924896
1572820,347259289,71,8.304754062311388e-05,-25367021#3,1061395652#0
1572820,347305368,55,6.433260189114456e-05,-463677569#2,347724256
1572820,340383864,94,0.00010995026505031979,23920574#1,23920574#1
1572820,313629780,252,0.0002947602850285169,454188458#0,1090298889
1572820,201008023,1052,0.0012305072216269833,1005374740#1,1071762898#1
1572820,340385814,214,0.00025031230554008974,727849147#0,727849147#0
1572820,103521742,842,0.0009848736507698857,1042466504#4,103521753#1
1572820,340540392,165,0.00019299780567343368,37997316#0,-961370196
1572820,340555196,723,0.0008456812939508639,330150435#7,330150435#7
1572820,347276741,191,0.00022340958111288382,19899374#2,1073080550#2
1572820,347284439,83,9.708374467209088e-05,-111771067#1,1084242810#1
1572820,347393484,125,0.00014621045884351036,25367086#1,806940748#4
1572820,347259509,78,9.123532631835046e-05,-25367021#3,1061395652#0
1572820,347382316,336,0.00039301371337135586,-1041940066#1,806940758#0
1572820,227611756,1497,0.00175101645510988,165265055#4,-1093671136
1572820,347207324,362,0.000423425488810806,103974914#5,103974914#5
1572820,103248065,91,0.00010644121403807555,4320471#7,399318540#0
1572820,340554334,778,0.0009100138958420085,48678911#3,48678911#3
1572820,340384447,134,0.00015673761188024312,-333292597,-333292597
1572820,347305447,44,5.1466081512915644e-05,20112451#3,347724256
1572820,343510261,1755,0.0020527948421628856,19899276#0,477915723
1572820,343510791,112,0.00013100457112378528,25367003#1,477913391
1572820,343477533,92,0.00010761089770882363,231387458#0,-37838772
1572820,340432015,288,0.00033686889717544785,48678911#8,401077114
1572820,219231360,321,0.0003754684583101346,37954103#2,37954103#2
1572820,340541021,955,0.0011170479055644192,329694554#4,961370196
1572820,343510856,89,0.00010410184669657938,25367003#1,477913391
1572820,225615171,2782,0.003254059972021167,39442470#0,95427581
1572820,340534832,81,9.474437733059472e-05,4886314#1,477802150
1572820,343510309,209,0.00024446388718634934,25367003#1,477913391
1572820,103892972,102,0.00011930773441630445,4320471#11,-477895037#1
1572820,340454318,88,0.00010293216302583129,37997317#2,479286963
1572820,340238416,1445,0.0016901929042309797,133806981#4,704194094#3
1572820,340562321,255,0.0002982693360407611,686625291#0,37918518#1
1572820,340386226,328,0.0003836562440053712,165217772#0,329694550
1572820,103248055,1595,0.0018656454548431922,330150434#2,400022149
1572820,340535124,190,0.00022223989744213574,4886314#1,477802150
1572820,347301061,188,0.00021990053010063958,20112451#4,1084242800
1572820,340554283,1251,0.0014632742721058516,48678911#3,48678911#3
1572820,340556651,54,6.316291822039648e-05,330150435#7,330150435#7
1572820,343479221,214,0.00025031230554008974,20170650,20170650
1572820,138271180,125,0.00014621045884351036,330150434#2,477544160
1572820,340382873,176,0.00020586432605166258,41258974#1,41258974#1
1572820,347311148,69,8.070817328161772e-05,-463677230#2,1084242779
1572820,347292240,615,0.0007193554575100709,329988460#1,1083353192#1
1572820,347249344,159,0.00018597970364894517,25366945#0,25366945#0
1572820,340455595,110,0.00012866520378228911,686625290#0,477799288
1572820,347630231,53,6.19932345496484e-05,20112427#5,20112427#5
1572820,340573372,517,0.0006047264577767589,330150435#9,330150435#9
1572820,347303814,62,7.252038758638114e-05,20112451#4,347723994
1572820,347394086,515,0.0006023870904352627,-165217829#1,806940743
1572820,340236006,395,0.00046202504994549275,20112466#4,806940772#0
1572820,340584006,407,0.0004760612539944697,92352263#2,92352263#2
1572820,77449305,5055,0.005912750955631559,-41258976#3,478156224
1572820,227612461,1076,0.0012585796297249372,-165217829#1,806940744#0
1572820,340450349,601,0.0007029798861195978,329694554#7,479286736
1572820,340548568,482,0.000563787529300576,22072949#1,22072949#1
1572820,347632972,53,6.19932345496484e-05,20112427#5,20112427#5
1572820,340446192,439,0.0005134911314584084,686625290#7,477544161
1572820,340575074,203,0.00023744578516186082,37954103#2,37954103#2
1572820,340384567,827,0.0009673283957086646,333292597,48678910#1
1572820,340382567,121,0.00014153172416051803,41258974#1,402436443
1572820,347239179,182,0.0002128824280761511,103974914#7,103974914#7
1572820,347312852,64,7.48597549278773e-05,20112439#5,-129810095#1
1572820,134140650,89,0.00010410184669657938,41651789#1,41651789#1
1572820,347300430,274,0.0003204933257849747,1051822951#12,1083353195
1572820,347317736,67,7.836880594012156e-05,-1051822950#12,1084240079#6
1572820,103248064,6776,0.00792577655298901,455083993#3,-403955588#0
1572820,340238453,1412,0.001651593343096293,133806981#4,1080279610
1572820,201007820,1905,0.002228247392775098,366840862#3,1071762898#0
1572820,347302445,149,0.00017428286694146436,20112451#4,347723994
1572820,312673133,265,0.000309966172748242,20112440#1,-20112442#1
1572820,340564486,87,0.00010176247935508321,21280706#3,-37918518#1
1572820,347299305,249,0.00029125123401627264,-725230629#1,1083353194#1
1572820,347630179,69,8.070817328161772e-05,20112427#5,20112427#5
1572820,620759658,74,8.655659163535814e-05,-165325649#1,806947037#2
1572820,347633791,39,4.561766315917523e-05,77688246,77689455#2
1572820,340539368,78,9.123532631835046e-05,37997316#0,37997316#0
1572820,340410152,665,0.0007778396410474751,48680979#1,399739971
1572820,340228785,123,0.0001438710915020142,689804569#4,806924899
1572820,340564297,119,0.00013919235681902187,21280706#2,-37918518#1
1572820,347634299,27,3.158145911019824e-05,104456616#3,77689455#2
1572820,47175636,601,0.0007029798861195978,165217829#4,165217829#4
1572820,54905335,1121,0.001311215394908601,-165325605#5,340606442#3
1572820,347303936,61,7.135070391563306e-05,20112451#4,1084242795#1
1572820,347633595,90,0.00010527153036732746,473733101#3,77689003#2
1572820,340408879,777,0.0009088442121712604,165217834#4,401056182
1572820,340549139,1188,0.0013895842008487226,329694554#3,244492478
1572820,347264445,73,8.538690796461004e-05,-19899281#1,-19899281#1
1572820,312672488,183,0.00021405211174689917,20112451#1,1084242799#3
1572820,312673135,343,0.0004012014990665924,20112451#3,792959186#0
1572820,40325356,868,0.001015285426209336,455083976#0,477745731
1572820,340583697,411,0.00048073998867746205,329694552#0,329694552#0
