TAZ,Poly,Area,Weight,GenEdge,PedEdge
9948739,347268391,69,0.00011602410610993032,25367021#6,25367021#6
9948739,347309947,241,0.00040524361699265516,454188458#0,1090298889
9948739,134134742,86,0.00014460975544136243,-52135931#0,666165803
9948739,227611763,518,0.0008710215502165783,1092666574#1,806940701#0
9948739,347630063,48,8.071242164169066e-05,20112427#5,20112427#5
9948739,347637144,67,0.00011266108854152654,20112427#4,20112427#4
9948739,347276173,143,0.0002404557561408701,19899374#2,1073080550#2
9948739,347354677,75,0.00012611315881514164,-20112433#8,1083355345
9948739,272436796,1373,0.0023087115607091932,606863916#0,-138464405#1
9948739,696912354,200,0.00033630175684037775,20112466#1,806924896
9948739,347259289,71,0.0001193871236783341,-25367021#3,1061395652#0
9948739,347305368,55,9.248298313110387e-05,-463677569#2,347724256
9948739,313629780,252,0.00042374021361887593,454188458#0,1090298889
9948739,201008023,1052,0.0017689472409803868,1005374740#1,1071762898#1
9948739,347680691,100,0.00016815087842018888,546005976#1,546005976#1
9948739,347312689,64,0.00010761656218892087,20112439#5,1080020850#2
9948739,347517898,96,0.00016142484328338132,1051822951#1,1051822951#1
9948739,347529395,78,0.00013115768516774732,-20112433#0,-20112433#0
9948739,347396574,81,0.00013620221152035297,-165217829#9,806940728#3
9948739,360807180,935,0.0015722107132287659,20112458#1,704214838#5
9948739,347276741,191,0.00032116817778256074,19899374#2,1073080550#2
9948739,347284439,83,0.00013956522908875675,-111771067#1,1084242810#1
9948739,347393484,125,0.0002101885980252361,25367086#1,806940748#4
9948739,347533131,95,0.00015974333449917942,-20112433#0,-20112433#0
9948739,347461567,151,0.0002539078264144852,739538066#0,-739538066#0
9948739,347259509,78,0.00013115768516774732,-25367021#3,1061395652#0
9948739,347382316,336,0.0005649869514918346,-1041940066#1,806940758#0
9948739,227611756,1497,0.002517218649950227,165265055#4,-1093671136
9948739,347207324,362,0.0006087061798810838,103974914#5,103974914#5
9948739,347709081,235,0.00039515456428744386,20112429#0,20112429#0
9948739,347695209,105,0.0001765584223411983,-1051822952,-1051822952
9948739,347499356,234,0.00039347305550324195,-1051822950#2,347989741#1
9948739,347622869,142,0.0002387742473566682,20112439#10,20112439#10
9948739,347394483,139,0.00023372972100406254,347395409#1,806940728#1
9948739,347680223,116,0.00019505501896741907,-453957749#1,-453957749#1
9948739,347305447,44,7.39863865048831e-05,20112451#3,347724256
9948739,347680572,101,0.00016983238720439075,546005976#1,546005976#1
9948739,347335103,63,0.00010593505340471898,-20112433#3,1084240055
9948739,347548168,599,0.0010072237617369314,463671599,461264537
9948739,347695347,129,0.00021691463316204365,200638843#2,200638843#2
9948739,347699775,182,0.0003060345987247437,20112439#12,20112439#12
9948739,340238416,1445,0.002429780193171729,133806981#4,704194094#3
9948739,347619302,224,0.00037665796766122304,1051822951#0,-1051822951#0
9948739,347301061,188,0.0003161236514299551,20112451#4,1084242800
9948739,347334271,73,0.00012275014124673786,20112445#1,1084240052#1
9948739,152131451,814,0.0013687481503403373,463671427,463671427
9948739,347703321,254,0.00042710323118727974,20112427#2,20112427#2
9948739,347519236,97,0.0001631063520675832,1051822951#1,1051822951#1
9948739,347499634,271,0.0004556888805187118,1051822950#2,1051822950#2
9948739,347706500,92,0.00015469880814657376,20112427#0,20112427#0
9948739,347338254,91,0.00015301729936237186,121905759#1,1083355643#2
9948739,347697173,88,0.0001479727730097662,20112439#14,77689005
9948739,347333980,67,0.00011266108854152654,-466666376#1,1084240053#0
9948739,347311148,69,0.00011602410610993032,-463677230#2,1084242779
9948739,347473734,219,0.00036825042374021363,545490135#1,545490135#1
9948739,347629140,65,0.00010929807097312276,463677230#3,1084242785#1
9948739,347292240,615,0.0010341279022841616,329988460#1,1083353192#1
9948739,347695905,125,0.0002101885980252361,200638843#2,200638843#2
9948739,347249344,159,0.0002673598966881003,25366945#0,25366945#0
9948739,347354624,61,0.0001025720358363152,-20112433#8,1083355345
9948739,347630231,53,8.91199655627001e-05,20112427#5,20112427#5
9948739,347394485,132,0.0002219591595146493,347395409#1,806940728#1
9948739,199238749,4026,0.006769754365196804,-20112623#7,620915578#1
9948739,347303814,62,0.0001042535446205171,20112451#4,347723994
9948739,347394086,515,0.0008659770238639726,-165217829#1,806940743
9948739,340236006,395,0.000664195969759746,20112466#4,806940772#0
9948739,227612461,1076,0.0018093034518012322,-165217829#1,806940744#0
9948739,347632972,53,8.91199655627001e-05,20112427#5,20112427#5
9948739,347628742,71,0.0001193871236783341,20112439#8,20112439#8
9948739,347312852,64,0.00010761656218892087,20112439#5,-129810095#1
9948739,347239179,182,0.0003060345987247437,103974914#7,103974914#7
9948739,134140650,89,0.00014965428179396808,41651789#1,41651789#1
9948739,347300430,274,0.0004607334068713175,1051822951#12,1083353195
9948739,347317736,67,0.00011266108854152654,-1051822950#12,1084240079#6
9948739,347355614,63,0.00010593505340471898,20112445#0,1083355989#2
9948739,227612459,1180,0.001984180365358229,-1042467341#7,806940702
9948739,340238453,1412,0.0023742904032930667,133806981#4,1080279610
9948739,201007820,1905,0.003203274233904598,366840862#3,1071762898#0
9948739,347302445,149,0.0002505448088460814,20112451#4,347723994
9948739,312673133,265,0.0004455998278135005,20112440#1,-20112442#1
9948739,484831713,393,0.0006608329521913422,20112623#9,704189172#3
9948739,347299305,249,0.0004186956872662703,-725230629#1,1083353194#1
9948739,347630179,69,0.00011602410610993032,20112427#5,20112427#5
9948739,347323844,70,0.0001177056148941322,-20178489#4,1084240053#1
9948739,620759658,74,0.00012443165003093976,-165325649#1,806947037#2
9948739,347633791,39,6.557884258387366e-05,77688246,77689455#2
9948739,347648635,1603,0.0026954585810756277,739538068,739538068
9948739,347690079,109,0.00018328445747800586,-546005976#1,-546005976#1
9948739,347709362,93,0.00015638031693077564,975251638,-975251638
9948739,340228785,123,0.0002068255804568323,689804569#4,806924899
9948739,347501314,320,0.0005380828109446044,-1051822950#1,-1051822950#1
9948739,347461589,139,0.00023372972100406254,739538066#0,-739538066#0
9948739,347634299,27,4.5400737173451e-05,104456616#3,77689455#2
9948739,47175636,601,0.001010586779305335,165217829#4,165217829#4
9948739,54905335,1121,0.0018849713470903173,-165325605#5,340606442#3
9948739,347706782,95,0.00015974333449917942,20112427#0,20112427#0
9948739,347303936,61,0.0001025720358363152,20112451#4,1084242795#1
9948739,347633595,90,0.00015133579057817,473733101#3,77689003#2
9948739,347264445,73,0.00012275014124673786,-19899281#1,-19899281#1
9948739,312672488,183,0.0003077161075089456,20112451#1,1084242799#3
9948739,347320429,747,0.0012560870617988108,-20178489#3,1084240069#1
9948739,312673135,343,0.0005767575129812478,20112451#3,792959186#0
9948739,347461089,159,0.0002673598966881003,739538066#2,-739538066#3
9948739,347637138,185,0.0003110791250773494,20112427#4,77689455#1
9948739,375722745,396,0.0006658774785439479,827050971#4,806924892#0
9948739,1081882036,594,0.0009988162178159218,960188218#1,1075808526
