TAZ,Poly,Area,Weight,GenEdge,PedEdge
9937137,104219360,1784,0.013714848014268363,461254932#1,477894289#1
9937137,103892924,1693,0.013015267762419472,455083979#1,399164437
9937137,343511223,98,0.0007533941173757284,25367003#1,477913391
9937137,103521748,2870,0.022063684866003474,1042466504#4,477887846#2
9937137,343521146,158,0.0012146558218914805,19899276#0,477915723
9937137,343515769,209,0.0016067282707298697,8140256#1,477905830
9937137,103973067,178,0.001368409723396731,-455083994#2,478157841
9937137,103521742,842,0.006473039253371054,1042466504#4,103521753#1
9937137,343531282,88,0.0006765171666231031,25367003#1,477913391
9937137,103521765,995,0.007649256599886222,1042466504#7,103521751#1
9937137,103892936,94,0.0007226433370746783,4320471#2,400881300#0
9937137,103521750,785,0.00603484063408109,4687641#4,477887847#0
9937137,1061255123,387,0.002975137994126601,39442470#0,95427590
9937137,103248065,91,0.0006995802518488907,4320471#7,399318540#0
9937137,343529006,96,0.0007380187272252033,25367003#1,477913391
9937137,104224460,744,0.005719645135995326,165337364#10,-104224465#1
9937137,343510261,1755,0.013491904857085749,19899276#0,477915723
9937137,103933637,118,0.0009071480188809791,4687641#1,477887847#2
9937137,103933629,5832,0.0448346376789311,546047308#1,477892162
9937137,103933650,176,0.0013530343332462062,19899276#0,477904514
9937137,104071955,1990,0.015298513199772445,165337364#11,-104224465#1
9937137,343510791,112,0.0008610218484294039,25367003#1,477913391
9937137,103933622,158,0.0012146558218914805,4687641#2,-103521753#1
9937137,104219352,1593,0.012246498254893217,461254932#1,477894289#1
9937137,22080572,6334,0.048693860606712894,4687641#8,399318544#0
9937137,343510856,89,0.0006842048616983655,25367003#1,477913391
9937137,225615171,2782,0.02138716769938037,39442470#0,95427581
9937137,343521367,296,0.0022755577422777103,19899276#0,477915723
9937137,484176988,2360,0.01814296037761958,103896396#1,477904916
9937137,343510309,209,0.0016067282707298697,25367003#1,477913391
9937137,103892972,102,0.0007841448976767786,4320471#11,-477895037#1
9937137,952323443,1058,0.008133581389627761,4320471#12,477890299#0
9937137,343531482,88,0.0006765171666231031,25367003#1,477913391
9937137,103248591,502,0.0038592229277817926,165217827#3,402436441
9937137,479282990,118,0.0009071480188809791,-455083994#2,478157841
9937137,103933633,492,0.003782345977029167,4687641#1,103933645#0
9937137,103933641,233,0.0017912329525361706,4687641#1,477887847#2
9937137,952155942,743,0.005711957440920064,165337364#10,-585607474
9937137,103892941,96,0.0007380187272252033,4320471#13,479290590
9937137,339798442,511,0.003928412183459155,4687641#1,398788227#1
9937137,103973087,187,0.001437598979074094,-455083994#2,478157841
9937137,343509799,72,0.0005535140454189025,19899276#0,477915723
