TAZ,Poly,Area,Weight,GenEdge,PedEdge
197569,484687580,197,0.0004708874435592398,199260847#1,199260847#1
197569,1096868154,131,0.0003131281985089361,1082412879#1,1082412879#1
197569,1015631331,224,0.000535425316534364,453293290,453293290
197569,1109170565,233,0.0005569379408594054,20904806#7,20904806#7
197569,1097752686,278,0.0006645010624846125,-453295842,-453295842
197569,484150598,254,0.000607134064284502,-370489177#1,-370489177#1
197569,1098705606,204,0.0004876194847009387,29367216#1,29367216#1
197569,1016020758,82,0.00019600391051704396,453293290,453293290
197569,1098701316,219,0.0005234738585760077,-1079007429#9,-1079007429#9
197569,1098705602,205,0.00049000977629261,29367216#1,29367216#1
197569,1096856613,135,0.00032268936487562117,198357035#4,198357035#4
197569,1096868141,148,0.0003537631555673477,1082412879#1,1082412879#1
197569,484150603,284,0.0006788428120346401,-370489177#1,-370489177#1
197569,1109167100,209,0.000499570942659295,-20904820#0,-20904820#0
197569,484861056,196,0.00046849715196756853,-20904803#2,-20904803#2
197569,1098113072,192,0.00045893598560088346,1082412283#7,1082412283#7
197569,1097752647,270,0.0006453787297512423,29376908#1,29376908#1
197569,484810106,258,0.0006166952306511872,29367216#0,29367216#0
197569,1098420258,205,0.00049000977629261,-20569526#1,-20569526#1
197569,1098413430,159,0.0003800563630757316,-1079007427#1,1082412300#1
197569,1096868143,148,0.0003537631555673477,1082412879#1,1082412879#1
197569,1004163615,156,0.00037288548830071783,477567817#1,477567817#1
197569,1099466767,261,0.0006238661054262009,29365272#4,29365272#4
197569,1012814877,156,0.00037288548830071783,-20904825#1,-20904825#1
197569,1096862197,90,0.00021512624325041411,68254908#2,1079098097#0
197569,1096856615,134,0.0003202990732839499,198357035#4,198357035#4
197569,1109172998,150,0.0003585437387506902,-171973699#0,-171973699#0
197569,1098698724,178,0.0004254719033174857,-1079007429#7,-1079007429#7
197569,484810104,302,0.000721868060684723,29367216#0,29367216#0
197569,794412283,58,0.00013863691231693354,1082412879#2,1082412879#2
197569,1109173006,206,0.0004924000678842812,-171973699#0,-171973699#0
197569,1098698708,179,0.00042786219490915695,1079007429#4,1079007429#4
197569,1109170572,258,0.0006166952306511872,29366374#0,29366374#0
197569,484832240,196,0.00046849715196756853,184514710#1,184514710#1
197569,1099466789,147,0.0003513728639756764,47971520#1,47971520#1
197569,1109167102,206,0.0004924000678842812,-20904820#0,-20904820#0
197569,484815049,210,0.0005019612342509663,20904827#5,20904827#5
197569,1002857412,169,0.0004039592789924443,20904790#0,20904790#0
197569,1099926219,317,0.000757722434559792,-29365000#0,-29365000#0
197569,1099926245,297,0.0007099166027263665,-20904787#1,-20904787#1
197569,1103334118,94,0.0002246874096170992,20570488#1,20570488#1
197569,1098113055,238,0.0005688893988177617,-1082412283#6,-1082412283#6
197569,1006872421,167,0.0003991786958091018,-1079087390#1,1079087387
197569,1109166002,193,0.00046132627719255474,-29366374#3,-29366374#3
197569,1098705641,191,0.0004565456940092122,29367216#2,29367216#2
197569,1100731809,257,0.0006143049390595159,20904842#2,20904842#2
197569,1006867017,119,0.00028444469940888087,1079087402#1,1079088959
197569,484824069,101,0.00024141945075879806,-20904803#0,-20904803#0
197569,1012330260,101,0.00024141945075879806,20904805#3,20904805#3
197569,1100733972,311,0.0007433806850097644,23630060#2,23630060#2
197569,484687574,286,0.0006836233952179826,-20904827#2,-20904827#2
197569,1097616949,180,0.00043025248650082823,-1079091086#1,1082412291
197569,1098955506,348,0.0008318214739016013,20904808#7,20904808#7
197569,1099466768,143,0.0003418116976089913,29365272#4,29365272#4
197569,1004610320,159,0.0003800563630757316,-1079007429#4,-1079007429#4
197569,1110827855,1143,0.002732103289280259,198357035#5,198357035#5
197569,1006007888,125,0.0002987864489589085,-1079091086#1,1082412291
197569,1109178665,228,0.0005449864829010491,29366375,29366375
197569,484859491,171,0.00040873986217578685,-20904827#5,-20904827#5
197569,1096872380,318,0.0007601127261514632,1082412879#3,1082412879#3
197569,1098113039,185,0.0004422039444591846,1082412283#1,1082412283#1
197569,1100731838,190,0.0004541554024175409,20904842#0,20904842#0
197569,1099466763,224,0.000535425316534364,29365272#4,29365272#4
197569,1098946188,136,0.00032507965646729245,-20904825#2,-20904825#2
197569,1098955504,217,0.0005186932753926651,-47971517#0,-47971517#0
197569,1109167120,189,0.00045176511082586966,20904820#0,544578614#1
197569,1109167117,305,0.0007290389354597367,20904820#0,20904820#0
197569,1109178684,263,0.0006286466886095435,29366375,29366375
197569,1100733973,360,0.0008605049730016565,23630060#2,23630060#2
197569,1099466790,185,0.0004422039444591846,47971520#1,47971520#1
197569,1006867011,158,0.00037766607148406034,47971521#1,1079088954#3
197569,1109168162,229,0.0005473767744927204,-20904815#1,-20904815#1
197569,1109170544,180,0.00043025248650082823,171973699#1,171973699#1
197569,1098413432,118,0.00028205440781720964,-1079007427#4,1082412300#0
197569,1098705630,136,0.00032507965646729245,-29367216#1,-29367216#1
197569,1012621156,179,0.00042786219490915695,-29367130#2,-29367130#2
197569,1098703442,170,0.00040634957058411557,20904806#2,20904806#2
197569,1109178676,228,0.0005449864829010491,29366375,29366375
197569,1098703425,262,0.0006262563970178722,-460709005,-460709005
197569,1100731811,360,0.0008605049730016565,20904842#2,20904842#2
197569,1098698696,168,0.000401568987400773,1079007429#2,-1079094256
197569,484150600,307,0.0007338195186430793,-370489177#1,-370489177#1
197569,1004165439,191,0.0004565456940092122,1079080143#3,1079080143#3
197569,1098703439,148,0.0003537631555673477,-20904806#3,-20904806#3
197569,1098420300,353,0.0008437729318599576,-20904800#0,-20904800#0
197569,1098698685,208,0.0004971806510676237,-1079007429#2,-1079007429#2
197569,1100736884,222,0.0005306447333510214,20904859#1,20904859#1
197569,1099926237,221,0.0005282544417593503,-29365000#1,-29365000#1
197569,1100733982,266,0.0006358175633845573,23630060#1,23630060#1
197569,1096865131,182,0.0004350330696841708,1079007962#1,1082415765
197569,1103343047,176,0.00042069132013414315,1082402421#1,1082402421#1
197569,1098113035,219,0.0005234738585760077,-20904799#1,1082412286
197569,1016020741,127,0.000303567032142251,453293290,453293290
197569,1097752653,278,0.0006645010624846125,183928758#1,183928758#1
197569,1098705615,147,0.0003513728639756764,-29367216#1,-29367216#1
197569,1099926225,310,0.0007409903934180931,29365000#1,29365000#1
197569,1098698699,198,0.00047327773515091104,1079007429#2,1079007429#2
197569,1098705628,112,0.000267712658267182,-29367216#1,-29367216#1
197569,1098117143,239,0.000571279690409433,-20904856,-20904856
197569,1095531814,1061,0.0025360993787632152,370488960#0,370488960#0
197569,1013408310,71,0.00016971070300866002,183670526#0,216614780#0
197569,1109167113,204,0.0004876194847009387,-20904820#1,-20904820#1
197569,1097752648,293,0.0007003554363596815,183928758#1,183928758#1
197569,1096856623,130,0.0003107379069172648,198357035#4,198357035#4
197569,1099926231,266,0.0006358175633845573,29365000#0,29365000#0
197569,1003298017,279,0.0006668913540762838,20195006#2,20195006#2
197569,1100731818,380,0.0009083108048350818,20904842#4,20904842#4
197569,1099464652,240,0.0005736699820011043,-20904813#0,-20904813#0
197569,1013405538,77,0.00018405245255868763,183670526#0,183670526#0
197569,1096872363,340,0.0008126991411682311,1082412879#2,1082412879#2
197569,1002857416,151,0.0003609340303423615,20904790#0,20904790#0
197569,1006861552,121,0.00028922528259222344,1079007963#1,1079091057
197569,484687570,262,0.0006262563970178722,20904828#0,20904828#0
197569,1003283542,417,0.0009967515937269187,29365799#5,29365799#5
197569,1096856624,140,0.00033464082283397753,198357035#4,198357035#4
197569,1097616931,166,0.0003967884042174305,1079091086#1,1082412292#0
197569,1006867003,142,0.00033942140601732004,47971521#1,1079088954#3
197569,1002649040,188,0.0004493748192341984,453295846,453295846
197569,1096868171,133,0.00031790878169227866,1082412879#1,1082412879#1
197569,1098705624,145,0.00034659228079233383,-29367216#1,-29367216#1
197569,1098113043,233,0.0005569379408594054,-1082412283#1,-1082412283#1
197569,484832244,260,0.0006214758138345296,-29366875#0,-29366875#0
197569,1101367804,829,0.001981551729495481,1079052705#8,1079052687
197569,1096865121,192,0.00045893598560088346,1079007962#1,1082415765
197569,1016020759,105,0.00025098061712548313,453293290,453293290
197569,483931548,187,0.0004469845276425271,184514710#2,184514710#2
197569,1098420260,159,0.0003800563630757316,-20569526#1,-20569526#1
197569,1098955491,252,0.0006023534811011595,-20904808#1,1079080177
197569,1097752627,153,0.000365714613525704,474753356,474753356
197569,1003298031,193,0.00046132627719255474,20195006#0,20195006#0
197569,1097752635,122,0.0002916155741838947,478018151#1,478018151#1
197569,1098113059,210,0.0005019612342509663,1082412283#2,1079080158#2
197569,1099466783,207,0.0004947903594759524,47971520#0,47971520#0
197569,1099466786,274,0.0006549398961179275,47971520#1,47971520#1
197569,1096865128,172,0.0004111301537674581,1079007962#1,1082415765
